frpm_perc,act_perc_above_21,sat_perc_read_write_benchmark,sat_perc_math_benchmark,sat_perc_both_benchmarks,perc_sat_takers,perc_act_takers
0.42100000000000004,0.6042000000000001,0.6102000000000001,0.3937,0.37799999999999995,0.16865869853917662,0.03187250996015936
0.7509999999999999,,0.027000000000000003,0.013500000000000002,0.013500000000000002,0.2364217252396166,
0.938,0.0,0.2403,0.0233,0.0155,0.15158636897767333,0.01762632197414806
0.595,0.5152,0.46990000000000004,0.24100000000000002,0.2329,0.22232142857142856,0.029464285714285714
0.897,0.1429,0.3012,0.1491,0.1242,0.20548819400127633,0.04467134652201659
0.066,0.9558,0.9704,0.9185,0.9037000000000001,0.08105673971780246,0.08826178324827379
0.065,0.8768,0.9540000000000001,0.8429000000000001,0.8276,0.09398631616852719,0.0731004681310767
0.039,0.8976000000000001,0.9506,0.8354,0.823,0.09926470588235294,0.11968954248366014
0.04,0.8652,0.9419,0.7870999999999999,0.7870999999999999,0.07402101241642789,0.1346704871060172
0.593,,0.6901,0.507,0.4225,0.07601713062098502,0.0053533190578158455
0.065,0.9005,0.9609000000000001,0.8672,0.8515999999999999,0.10402275497765136,0.08167411621292157
0.324,0.6667000000000001,0.8571,0.7143,0.6349,0.058118081180811805,0.04428044280442804
0.377,0.5417000000000001,0.8361,0.6065999999999999,0.5902000000000001,0.05570776255707763,0.043835616438356165
0.18100000000000002,0.7905,0.9057999999999999,0.8043,0.7826000000000001,0.07399463806970509,0.05630026809651475
0.514,0.5926,0.7963,0.5556,0.5185,0.04990757855822551,0.04990757855822551
0.23399999999999999,0.8952,0.9549,0.8156,0.8033,0.095723813260102,0.04864652805021577
0.40299999999999997,0.6905,0.8902,0.7168000000000001,0.6994,0.08572844400396432,0.04162537165510406
0.301,0.8,0.8963,0.6455,0.6321,0.10968451944240645,0.045854732208363905
0.52,0.5636,0.6793,0.4346,0.39659999999999995,0.09232567199065056,0.021425788858589794
0.488,0.6476999999999999,0.7531,0.48969999999999997,0.4733,0.08532303370786516,0.03089887640449438
0.87,,0.6441,0.25420000000000004,0.25420000000000004,0.05021276595744681,0.003404255319148936
0.732,,0.5789,0.25,0.2368,0.09595959595959595,0.012626262626262626
0.733,0.39659999999999995,0.8667,0.5832999999999999,0.5333,0.21978021978021978,0.21245421245421245
0.18600000000000003,0.9186,1.0,0.8815999999999999,0.8815999999999999,0.1557377049180328,0.1762295081967213
0.81,,0.9473999999999999,0.5789,0.5789,0.06440677966101695,0.013559322033898305
0.589,0.5,0.5874,0.37060000000000004,0.3427,0.05667855727308759,0.009512485136741973
0.897,,0.5091,0.1818,0.1273,0.05036630036630037,0.0018315018315018315
0.9059999999999999,0.2167,0.40409999999999996,0.1813,0.1606,0.06664364640883978,0.04143646408839779
0.7879999999999999,0.5373,0.7676000000000001,0.5027,0.4757,0.0712360415864459,0.025798998844820946
0.897,0.1273,0.4725,0.0989,0.08789999999999999,0.04224698235840297,0.0510677808727948
0.8420000000000001,0.129,0.4045,0.1685,0.1573,0.05,0.01741573033707865
0.9179999999999999,0.1176,0.4035,0.15789999999999998,0.15789999999999998,0.03145695364238411,0.028145695364238412
0.9079999999999999,0.0556,0.3134,0.059699999999999996,0.059699999999999996,0.03051001821493625,0.00819672131147541
