school_code,county_name,district_name,school_name,enrollment,frpm_count,frpm_perc,num_act_takers,act_avg_score_read,act_avg_score_eng,act_avg_score_math,act_avg_score_sci,act_num_above_21,act_perc_above_21,num_sat_takers,sat_num_read_write_benchmark,sat_perc_read_write_benchmark,sat_num_math_benchmark,sat_perc_math_benchmark,sat_total_num_both_benchmarks,sat_perc_both_benchmarks
3632742,San Bernardino,Colton Joint Unified,Colton High,1940,1518,0.782,71.0,18.0,17.0,19.0,18.0,14.0,0.1972,86.0,48.0,0.5581,28.0,0.3256,24.0,0.2791
108191,San Bernardino,Fontana Unified,Summit High,2498,1654,0.662,512.0,17.0,15.0,17.0,17.0,79.0,0.1543,241.0,148.0,0.6141,88.0,0.3651,79.0,0.32780000000000004
120758,San Bernardino,Fontana Unified,Jurupa Hills High,1930,1600,0.8290000000000001,424.0,16.0,14.0,16.0,16.0,45.0,0.1061,138.0,81.0,0.5870000000000001,45.0,0.3261,41.0,0.29710000000000003
3630019,San Bernardino,Fontana Unified,Eric Birch High (Continuation),242,216,0.893,113.0,13.0,11.0,14.0,13.0,0.0,0.0,1.0,,,,,,
3630480,San Bernardino,Fontana Unified,Citrus High (Continuation),282,265,0.94,103.0,12.0,10.0,14.0,12.0,0.0,0.0,1.0,,,,,,
3630555,San Bernardino,Fontana Unified,Fontana A. B. Miller High,2145,1864,0.8690000000000001,447.0,16.0,14.0,17.0,16.0,53.0,0.1186,171.0,109.0,0.6374,58.0,0.3392,55.0,0.32159999999999994
3630902,San Bernardino,Fontana Unified,Henry J. Kaiser High,2110,1726,0.818,467.0,16.0,14.0,16.0,16.0,63.0,0.1349,227.0,132.0,0.5815,64.0,0.28190000000000004,63.0,0.2775
3633302,San Bernardino,Fontana Unified,Fontana High,2454,2285,0.9309999999999999,496.0,15.0,13.0,16.0,16.0,42.0,0.08470000000000001,218.0,95.0,0.43579999999999997,52.0,0.23850000000000002,38.0,0.1743
116723,San Bernardino,Helendale Elementary,Academy of Careers and Exploration,324,173,0.534,5.0,,,,,,,18.0,15.0,0.8332999999999999,5.0,0.2778,5.0,0.2778
3636743,San Bernardino,Morongo Unified,Twentynine Palms High,860,592,0.688,5.0,,,,,,,29.0,26.0,0.8966,13.0,0.4483,13.0,0.4483
3638616,San Bernardino,Morongo Unified,Yucca Valley High,1358,858,0.632,11.0,,,,,,,73.0,58.0,0.7945,34.0,0.4658,34.0,0.4658
3634169,San Bernardino,Needles Unified,Needles High,270,191,0.7070000000000001,6.0,,,,,,,17.0,10.0,0.5882000000000001,5.0,0.29410000000000003,4.0,0.2353
113928,San Bernardino,Oro Grande,Riverside Preparatory,2302,1692,0.735,17.0,18.0,18.0,17.0,19.0,5.0,0.29410000000000003,46.0,29.0,0.6304,15.0,0.3261,13.0,0.2826
118802,San Bernardino,Redlands Unified,Citrus Valley High,2089,1124,0.5379999999999999,33.0,24.0,23.0,23.0,23.0,20.0,0.6061,306.0,211.0,0.6895,158.0,0.5163,143.0,0.4673
3630779,San Bernardino,Redlands Unified,Redlands East Valley High,2099,1093,0.521,92.0,23.0,22.0,23.0,22.0,56.0,0.6087,376.0,271.0,0.7206999999999999,201.0,0.5346,194.0,0.516
3630928,San Bernardino,Redlands Unified,Grove,228,41,0.18,3.0,,,,,,,19.0,16.0,0.8421,14.0,0.7368000000000001,13.0,0.6842
3634995,San Bernardino,Redlands Unified,Orangewood High (Continuation),208,185,0.889,,,,,,,,44.0,14.0,0.3182,2.0,0.0455,2.0,0.0455
3635042,San Bernardino,Redlands Unified,Redlands Senior High,2302,1167,0.507,46.0,28.0,27.0,28.0,27.0,42.0,0.9129999999999999,360.0,269.0,0.7472,218.0,0.6056,198.0,0.55
102830,San Bernardino,Rialto Unified,Wilmer Amina Carter High,2322,1890,0.8140000000000001,34.0,18.0,18.0,18.0,18.0,10.0,0.29410000000000003,173.0,96.0,0.5549000000000001,52.0,0.3006,44.0,0.25429999999999997
3630597,San Bernardino,Rialto Unified,Rialto High,2711,2493,0.92,93.0,19.0,18.0,20.0,20.0,34.0,0.36560000000000004,170.0,118.0,0.6940999999999999,74.0,0.4353,72.0,0.4235
3633005,San Bernardino,Rialto Unified,Eisenhower Senior High,2360,2173,0.9209999999999999,63.0,18.0,16.0,18.0,18.0,15.0,0.23809999999999998,124.0,57.0,0.4597,39.0,0.3145,35.0,0.2823
3635265,San Bernardino,Rim of the World Unified,Rim of the World Senior High,915,469,0.513,26.0,25.0,24.0,22.0,24.0,19.0,0.7308,56.0,41.0,0.7321,19.0,0.3393,17.0,0.3036
120568,San Bernardino,San Bernardino City Unified,Options for Youth-San Bernardino,795,551,0.693,0.0,,,,,,,17.0,11.0,0.6470999999999999,5.0,0.29410000000000003,5.0,0.29410000000000003
125450,San Bernardino,San Bernardino City Unified,Indian Springs High,1861,1747,0.9390000000000001,110.0,17.0,16.0,17.0,17.0,20.0,0.1818,65.0,26.0,0.4,10.0,0.15380000000000002,10.0,0.15380000000000002
3631082,San Bernardino,San Bernardino City Unified,Arroyo Valley High,2621,2455,0.937,51.0,19.0,17.0,18.0,18.0,14.0,0.27449999999999997,202.0,103.0,0.5099,51.0,0.2525,46.0,0.22769999999999999
3631090,San Bernardino,San Bernardino City Unified,Middle College High,267,228,0.8540000000000001,47.0,20.0,19.0,20.0,20.0,17.0,0.3617,50.0,38.0,0.76,26.0,0.52,23.0,0.46
3632221,San Bernardino,San Bernardino City Unified,Cajon High,2812,2085,0.741,100.0,21.0,19.0,19.0,20.0,36.0,0.36,232.0,147.0,0.6335999999999999,72.0,0.3103,69.0,0.2974
3634680,San Bernardino,San Bernardino City Unified,Pacific High,1210,1106,0.914,77.0,16.0,16.0,16.0,17.0,7.0,0.0909,87.0,35.0,0.4023,13.0,0.1494,13.0,0.1494
3635844,San Bernardino,San Bernardino City Unified,San Bernardino High,1593,1457,0.915,71.0,20.0,18.0,19.0,19.0,22.0,0.3099,94.0,53.0,0.5638000000000001,24.0,0.2553,19.0,0.2021
3636081,San Bernardino,San Bernardino City Unified,San Gorgonio High,1881,1659,0.882,24.0,19.0,19.0,19.0,20.0,8.0,0.3333,170.0,106.0,0.6235,59.0,0.3471,56.0,0.32939999999999997
110064,San Bernardino,Victor Valley Union High,University Preparatory,1086,820,0.755,43.0,22.0,22.0,22.0,21.0,24.0,0.5581,109.0,96.0,0.8806999999999999,66.0,0.6054999999999999,65.0,0.5963
125419,San Bernardino,Victor Valley Union High,Adelanto High,1854,1599,0.862,28.0,19.0,17.0,18.0,18.0,8.0,0.2857,102.0,55.0,0.5392,15.0,0.1471,14.0,0.1373
3630670,San Bernardino,Victor Valley Union High,Options for Youth-Victorville Charter,856,669,0.782,0.0,,,,,,,25.0,9.0,0.36,1.0,0.04,1.0,0.04
3630787,San Bernardino,Victor Valley Union High,Silverado High,2326,1869,0.804,71.0,19.0,18.0,17.0,19.0,18.0,0.2535,114.0,63.0,0.5526,22.0,0.193,22.0,0.193
3638012,San Bernardino,Victor Valley Union High,Victor Valley High,1829,1670,0.9129999999999999,39.0,18.0,17.0,19.0,18.0,8.0,0.2051,89.0,56.0,0.6292,26.0,0.2921,21.0,0.23600000000000002
6114698,San Bernardino,Victor Valley Union High,Cobalt Institute of Math and Science Academy,1124,940,0.836,19.0,20.0,18.0,19.0,19.0,7.0,0.36840000000000006,60.0,35.0,0.5832999999999999,15.0,0.25,14.0,0.23329999999999998
3638509,San Bernardino,Yucaipa-Calimesa Joint Unified,Yucaipa High,2829,1313,0.46399999999999997,61.0,24.0,22.0,22.0,22.0,40.0,0.6557,227.0,180.0,0.7929999999999999,135.0,0.5947,129.0,0.5683
3630274,San Bernardino,Silver Valley Unified,Silver Valley High,382,202,0.529,2.0,,,,,,,24.0,19.0,0.7917000000000001,16.0,0.6667000000000001,16.0,0.6667000000000001
3630233,San Bernardino,Snowline Joint Unified,Serrano High,2116,1352,0.639,56.0,22.0,21.0,23.0,22.0,34.0,0.6071,136.0,111.0,0.8162,67.0,0.4926,65.0,0.4779
116707,San Bernardino,Hesperia Unified,Encore Jr./Sr. High School for the Performing and Visual Arts,1017,601,0.591,37.0,20.0,18.0,17.0,17.0,10.0,0.2703,42.0,30.0,0.7143,5.0,0.11900000000000001,5.0,0.11900000000000001
119115,San Bernardino,Hesperia Unified,Oak Hills High,2449,1515,0.619,154.0,20.0,18.0,20.0,19.0,58.0,0.3766,201.0,135.0,0.6716,91.0,0.45270000000000005,84.0,0.4179
3630407,San Bernardino,Hesperia Unified,Hesperia High,2019,1295,0.6409999999999999,40.0,20.0,18.0,18.0,18.0,9.0,0.225,108.0,58.0,0.537,21.0,0.19440000000000002,16.0,0.1481
3630746,San Bernardino,Hesperia Unified,Sultana High,1872,1294,0.691,21.0,21.0,19.0,21.0,21.0,13.0,0.619,108.0,74.0,0.6851999999999999,45.0,0.4167,39.0,0.3611
3637584,San Bernardino,Upland Unified,Upland High,3195,1701,0.532,62.0,21.0,21.0,21.0,21.0,30.0,0.4839,296.0,229.0,0.7736,146.0,0.4932,142.0,0.4797
3630423,San Bernardino,Apple Valley Unified,Apple Valley High,2168,1323,0.61,55.0,22.0,22.0,20.0,21.0,30.0,0.5455,186.0,150.0,0.8065000000000001,70.0,0.3763,67.0,0.3602
3630894,San Bernardino,Apple Valley Unified,Granite Hills High,1553,1070,0.6890000000000001,14.0,,,,,,,77.0,58.0,0.7532,24.0,0.31170000000000003,22.0,0.2857
3631207,San Bernardino,Apple Valley Unified,Academy for Academic Excellence,1447,479,0.331,13.0,,,,,,,53.0,48.0,0.9057,30.0,0.5660000000000001,29.0,0.5472
6119119,San Diego,San Diego County Office of Education,Literacy First Charter,1678,664,0.396,18.0,23.0,23.0,25.0,24.0,14.0,0.7778,0.0,,,,,,
134890,San Diego,Borrego Springs Unified,San Diego Workforce Innovation High,2196,1618,0.737,1.0,,,,,,,16.0,10.0,0.625,2.0,0.125,2.0,0.125
6037980,San Diego,Chula Vista Elementary,Mueller Charter (Robert L.),1566,1227,0.784,10.0,,,,,,,38.0,25.0,0.6579,11.0,0.2895,10.0,0.2632
6115778,San Diego,Chula Vista Elementary,Chula Vista Learning Community Charter,1510,979,0.648,11.0,,,,,,,74.0,58.0,0.7837999999999999,20.0,0.2703,20.0,0.2703
3731478,San Diego,Coronado Unified,Coronado High,1162,96,0.083,128.0,26.0,25.0,25.0,25.0,100.0,0.7813,151.0,143.0,0.9470000000000001,115.0,0.7615999999999999,113.0,0.7483
111195,San Diego,Escondido Union High,Classical Academy High,1205,139,0.115,69.0,27.0,27.0,27.0,26.0,62.0,0.8986,93.0,81.0,0.871,69.0,0.7419,67.0,0.7204
127241,San Diego,Escondido Union High,Del Lago Academy - Campus of Applied Science,822,432,0.526,65.0,22.0,21.0,21.0,22.0,37.0,0.5692,97.0,80.0,0.8247,47.0,0.48450000000000004,47.0,0.48450000000000004
3730058,San Diego,Escondido Union High,San Pasqual High,2191,1275,0.5820000000000001,98.0,22.0,20.0,21.0,21.0,48.0,0.48979999999999996,192.0,150.0,0.7813,99.0,0.5156000000000001,95.0,0.49479999999999996
3731023,San Diego,Escondido Union High,Escondido Charter High,856,347,0.405,27.0,24.0,23.0,25.0,24.0,20.0,0.7406999999999999,73.0,66.0,0.9041,53.0,0.726,52.0,0.7123
